id	Luminal	Basal	Basal A	Basal	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal B	Basal B	Basal B	Basal A	Basal B	Basal A	Basal A	Basal B	Basal	Basal	Basal B	Basal B	Basal	Basal B	Basal A	Basal	Basal	Basal A	Basal	Luminal	Basal A
RPL7	10.1847	10.1741	9.30145	9.85227	9.89942	10.1308	9.12708	9.67784	10.0092	9.44353	9.63593	9.83451	10.4085	9.79557	9.89942	9.46043	9.24175	9.75385	10.6578	10.326	9.80977	10.266	10.2462	9.34661	9.0086	9.76011	9.63593	9.96102	9.77451	9.63593	10.1858
RPS4X	9.88806	10.0239	8.91765	9.02336	9.94336	10.5446	10.0724	10.1169	10.0757	10.0127	10.0136	9.63593	9.93477	9.28765	10.5308	9.22604	9.61551	9.13943	9.58033	9.41435	9.89942	9.87999	10.1226	9.97141	9.7463	9.02336	9.1445	10.7153	10.2267	9.34264	10.6322
KRT7	8.89039	9.13694	10.4152	9.83451	5.36467	10.6741	9.02544	5.52963	10.3198	3.92326	9.82724	6.33549	6.37842	10.1903	4.04757	9.67784	10.139	5.23929	7.33485	7.32486	5.11218	9.89942	9.19684	10.3111	9.88806	9.89942	8.93572	10.7718	10.2317	9.72471	8.56887
MYH9	9.72471	9.59774	10.0198	9.80977	10.0322	9.37715	10.7084	9.78159	10.9829	10.0058	10.379	10.236	10.3326	9.34264	7.74045	9.97141	10.5114	11.6642	9.46519	9.45652	9.65264	9.86995	9.76011	9.86995	10.2484	9.82724	8.74878	10.483	8.80906	9.93477	9.84451
RPS6	9.10706	8.94692	9.40207	10.5472	9.82724	11.4112	9.49319	9.42209	8.66187	9.59774	10.1117	10.1438	10.4766	9.82724	10.2765	9.02779	10.2366	9.25798	9.92646	9.7463	10.2618	9.14968	9.00275	10.0587	9.52229	10.4994	8.96102	10.8675	10.5965	9.43506	10.2575
CCND1	9.21923	11.1888	8.68126	7.69298	10.0685	7.63306	9.73886	8.39503	10.8874	10.0161	8.72647	8.50388	6.82024	9.25798	7.91486	9.21615	8.13705	8.93711	8.80209	8.81881	7.97269	8.77034	11.3303	9.18322	8.3334	7.81	8.16172	8.56429	7.37156	8.58806	9.32896
P4HB	10.1642	10.0038	9.02336	9.48367	10.3435	9.73239	9.85227	9.10382	10.3141	10.0812	9.27707	10.0281	9.41051	9.30741	10.7074	9.89942	9.51224	9.7463	9.94336	9.84451	9.81891	9.80225	10.1624	9.92646	9.50765	9.4792	10.1644	9.88806	9.07539	9.54362	9.66482
TUBA1B	10.1517	9.24175	9.86158	10.1467	10.2703	9.97141	10.386	9.64221	10.0844	10.5199	9.73239	10.1508	10.2555	9.72471	9.72471	10.1097	9.78828	10.1572	10.6785	10.4502	9.64732	10.2743	9.29755	9.71112	9.71873	10.2536	9.49319	9.80977	9.40687	9.08233	9.64221
APP	9.20536	10.5965	9.95081	9.3864	9.50765	9.34661	9.62265	9.1635	10.2678	9.69036	9.22226	10.1707	9.99197	9.63593	9.78159	9.68438	10.6414	9.76705	10.4961	10.2801	8.58546	10.277	10.7129	10.1162	10.0026	9.36915	10.6525	9.63593	9.79557	10.075	9.85227
ATP5B	9.81891	10.8512	9.19968	9.58033	9.4792	9.86158	9.42593	9.59774	10.0687	10.1823	9.64732	9.88806	9.65863	9.27395	9.64221	9.71112	8.97003	9.26739	10.2363	10.0211	9.34661	9.88806	10.9805	8.73226	9.21058	9.63593	9.1217	9.3323	9.6973	9.64732	9.60417
CLTC	9.69036	9.47036	9.3864	10.1378	9.35459	8.83058	9.78828	9.0983	9.00461	9.75385	9.08494	9.05539	8.97581	9.19684	9.99197	9.30438	9.12439	9.39396	9.39396	9.3108	10.4426	10.0972	9.55345	9.64221	8.8434	10.1237	9.78159	9.61551	10.251	8.93358	9.17105
CALR	10.1461	9.58033	9.3108	9.65863	10.0697	9.80977	10.2127	9.96102	10.0798	10.3992	9.20806	10.1334	10.4808	9.68438	10.2603	10.9269	10.1916	10.0505	10.4798	10.2587	10.1156	10.1511	9.70432	10.0206	9.84451	9.60417	10.4705	10.0442	9.73239	9.75385	10.3567
RPS3A	9.83451	9.86995	10.3282	9.52724	9.91797	10.5402	9.76011	10.0686	9.11176	9.78828	10.1574	9.79557	9.76011	9.90836	9.54809	9.65264	8.87533	9.11934	9.79557	9.60417	9.96102	9.64732	10.0169	8.64539	9.34264	9.49797	8.96527	10.3306	9.62265	9.76705	10.2179
