id	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Non-malignant	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low	Claudin-low
ENSG00000156453.12	35.94	44.37	13.36	53.69	40.79	0.78	1.1	0.45	0.47	12.27	0.67
ENSG00000090776.5	65.2	44.6	55.14	53.91	48.97	14.7	1.9	3.06	7.11	4.89	3.2
ENSG00000169403.10	12.19	5.03	9.75	19.4	7.53	0.05	0.57	0.22	0.3	0.74	0.18
ENSG00000086544.2	13.4	40.15	29.99	28.64	24.99	6.64	4	5.37	4.98	10.39	2.77
ENSG00000172830.11	62.37	76.03	64.99	27.89	34.27	10.96	12.54	4.78	4.94	15.75	9.09
ENSG00000074410.12	39.62	100.03	74.64	26.23	40	2.64	8.02	3.11	8.58	14.07	3.68
ENSG00000035115.20	28.29	38.43	33.27	14.66	40.57	8.04	4.37	4.74	2.18	8.82	1.46
ENSG00000091129.18	11.03	3.81	3.94	4.11	5.76	0	0.58	0.04	0.18	0	0.24
ENSG00000184254.15	158.49	121.37	18.59	92.93	57.2	0.14	5.9	0.89	10.33	0.66	2.16
ENSG00000110042.6	16.11	24.41	8.32	8.38	5.03	0.75	0.42	0.07	0.07	2.35	0
ENSG00000181284.2	12.84	17.2	12.55	13.32	24.12	5.39	2.04	0.46	2.12	2.62	0.49
ENSG00000079819.15	10.38	6.88	8.06	13.28	7.29	18.9	58.93	53.9	42.89	24.62	37.83
ENSG00000148426.11	49.86	22.08	22.97	26.33	28.83	2.36	0.26	1.07	3.93	2.53	8.37
ENSG00000132821.10	197.01	52.22	48.62	116.08	18.81	1.26	0.66	0.55	1.27	0.45	5.46
ENSG00000165929.11	3.2	4.06	4.91	3.13	1.75	0	0.67	0.07	0.04	0	1.49
ENSG00000166908.16	40.65	37.34	28.78	57	40.41	15.65	16.1	21.24	14.27	12.1	19.59
ENSG00000182704.7	28.33	25.28	32.87	56.35	36.04	19.03	7.66	11.8	9.71	6.85	10.28
ENSG00000270149.4	21.98	38.2	30.46	23.28	64.31	4.92	0	1.79	0	0	5.34
ENSG00000243896.3	1.41	2.27	2.33	4.64	2.53	NA	0.14	0.71	NA	NA	0.08
ENSG00000267169.1	0.54	0.15	0.53	0.38	0.21	1.5	2.65	1.39	1.44	3.5	1.77
ENSG00000216895.7	2.95	1.75	2.75	2.1	2.44	15.49	16.45	8.38	9.41	14.16	5.35
ENSG00000144711.12	7.52	5.1	7.28	5.82	4.77	13.19	8.8	15.64	14.15	13.57	10.84
ENSG00000137752.21	25.56	11.45	23.86	10.82	5.84	0.06	0.61	2.71	1.36	0	2.2
ENSG00000099337.4	9.91	6.8	2.83	9.18	9.13	0.69	0.58	0.45	2.89	0.03	0.34
ENSG00000163347.5	22.32	25.99	65.16	32.61	30.3	8.37	0.32	0.86	0.12	0.46	4.51
ENSG00000144741.16	14.87	18.26	18.33	15.91	18.28	10.55	10.75	10.8	12.29	9.04	13.8
ENSG00000236269.1	0.11	0.28	0.67	0	0	0.96	2.66	1.36	1.23	2.02	1.67
ENSG00000158825.5	138.53	39.65	10.34	60.98	96.39	0	0	0	0.69	0.71	4.39
