id	ER-ERR1084763_PE	ER-ERR1084764_PE	ER-ERR1084765_PE	ER-ERR1084775_PE	ER-ERR1084805_PE	ER-ERR1084806_PE	ER-ERR1084811_PE	TN-ERR1084766_PE	TN-ERR1084768_PE	TN-ERR1084798_PE	TN-ERR1084799_PE	TN-ERR1084800_PE	TN-ERR1084801_PE	TN-ERR1084802_PE	TN-ERR1084803_PE	TN-ERR1084804_PE	TN-ERR1084807_PE	TN-ERR1084808_PE	TN-ERR1084809_PE	TN-ERR1084810_PE
ENSG00000078399	0.00	0.00	0.00	0.00	39.60	0.00	30.81	917.97	2324.71	96.85	3.15	910.42	0.00	0.00	0.00	670.03	259.25	158.45	326.96	0.00
ENSG00000078699	0.00	0.00	0.00	0.89	0.00	1.64	0.00	1.15	1.11	0.00	0.00	0.00	1.10	9.45	0.00	1.12	0.00	0.00	0.00	1.02
ENSG00000078814	0.00	0.00	0.00	0.00	0.00	0.00	5.39	0.00	0.00	0.00	0.00	0.00	0.00	5.04	2.78	0.00	0.00	0.00	2.92	2.42
ENSG00000079385	0.00	0.00	0.00	0.00	2.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.35
ENSG00000079482	25.71	11.39	26.37	16.87	11.49	34.94	87.29	3.13	8.27	9.69	10.69	725.86	13.29	19.78	19.46	6.78	13.76	14.42	22.04	3.69
ENSG00000079974	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.94	0.00	0.00	0.00
ENSG00000080573	0.00	0.00	0.00	0.49	1.33	0.00	1.23	1191.12	15.98	19.58	9.74	0.62	34.88	49.38	3.84	0.00	585.75	2.41	0.00	2.82
ENSG00000080802	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	4.95	0.00	0.00	0.00	2.24
ENSG00000080947	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45
ENSG00000081059	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000081665	0.00	0.00	0.00	0.00	5.68	0.00	0.00	0.00	10.22	0.00	0.00	0.00	3.69	1.77	0.00	0.94	0.00	1.82	11.24	0.00
ENSG00000081760	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000081870	0.00	0.00	0.00	0.00	5.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000082805	0.00	0.00	0.00	0.00	30.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000082898	0.00	24.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000083123	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.00
ENSG00000083312	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000083444	3.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000083807	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.00	1.52	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000084072	0.00	11.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000084092	0.00	0.00	0.00	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	0.00
ENSG00000084234	0.00	0.00	21.89	2.65	3.52	6.37	0.00	0.00	10.48	2.67	0.00	0.00	0.00	5.39	3.36	0.00	0.00	0.00	11.39	0.00
ENSG00000084623	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.68	0.00	0.00	0.00	0.00	0.00	0.00	3.05	0.00	0.00	0.00	0.00	0.00
ENSG00000084754	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	17.42	0.00
ENSG00000084774	0.00	0.00	0.00	0.00	7.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000085662	0.00	0.00	0.00	42.15	7.99	35.91	15.11	0.00	0.00	2.73	3.80	0.00	17.65	13.98	4.69	18.70	0.00	7.31	20.41	0.00
ENSG00000085998	0.00	0.00	0.00	1.09	0.00	1.37	0.00	3.07	0.00	0.00	0.00	0.00	0.00	2.66	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000086015	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.77	0.00	0.00	1.42	0.00	0.75	0.00	0.00	0.82	0.00
ENSG00000086598	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000086666	630.57	434.99	1031.42	320.17	420.68	315.78	468.16	196.28	131.43	344.83	440.36	532.55	221.29	379.04	349.21	421.86	360.69	146.82	533.61	544.24
ENSG00000087053	0.00	3.11	3.36	0.64	0.00	1.61	0.00	0.00	0.00	1.31	0.00	2.41	0.00	0.00	0.00	0.81	0.97	0.78	0.88	0.00
ENSG00000087157	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	8.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000087206	0.00	0.00	0.00	0.00	2.60	0.00	0.00	18.88	0.00	0.00	4.95	0.00	0.00	0.00	2.52	0.00	2.93	2.37	0.00	0.00
ENSG00000087253	0.00	0.00	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000087258	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000087263	0.00	0.00	0.00	0.00	5.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000087266	0.00	0.00	0.86	0.33	0.00	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00	2.33	0.00	0.00	0.00	0.00	0.00	0.38
ENSG00000087269	0.00	4.28	2.31	0.89	1.19	0.00	2.21	6.63	0.00	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000087299	0.00	0.00	4.38	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
